kill11,death11,damage_done11,damage_taken11,shielding11,kill12,death12,damage_done12,damage_taken12,shielding12,kill13,death13,damage_done13,damage_taken13,shielding13,kill14,death14,damage_done14,damage_taken14,shielding14,kill15,death15,damage_done15,damage_taken15,shielding15,team1,kill21,death21,damage_done21,damage_taken21,shielding21,kill22,death22,damage_done22,damage_taken22,shielding22,kill23,death23,damage_done23,damage_taken23,shielding23,kill24,death24,damage_done24,damage_taken24,shielding24,kill25,death25,damage_done25,damage_taken25,shielding25,team2,winning_team
4,2,16569,20484,0,8,4,27733,23569,0,15,2,40641,26433,0,16,2,45036,42997,4388,11,3,35924,20330,6671,1130686999,2,11,19688,31753,0,5,13,35709,39849,0,2,12,35438,40993,0,1,13,15497,33311,0,3,5,27481,19997,0,22034286047,0
6,15,86067,65902,0,17,19,89670,55398,0,8,14,96560,134359,56397,16,14,69823,47824,0,0,16,37740,56258,0,1405742807,16,14,72442,54998,0,25,7,90272,48266,0,17,9,79454,174736,85324,3,5,15668,39081,0,15,12,101905,62669,0,145074095,1
5,4,24049,18320,0,9,7,30628,26241,0,5,10,18753,35317,0,3,10,16505,24871,0,5,9,18366,24207,1050,1825110877,12,3,24294,22417,0,5,10,22267,21324,0,12,4,34652,18851,0,7,5,23765,23313,0,3,6,23978,22396,0,1224048733,1
8,11,35168,33712,8664,5,9,27261,30918,0,13,6,48916,31475,0,8,11,37945,43884,0,0,6,9353,19358,0,10468236719,4,9,28986,39744,0,9,6,40310,36703,0,15,6,42381,32717,0,7,8,27454,25168,0,6,7,20216,24311,0,3038187767,1
18,5,64082,28519,0,8,10,42036,34512,0,6,4,40124,25787,0,5,5,36048,69126,17779,5,7,29142,34873,2770,477890039,6,10,49081,29280,0,6,8,26348,75684,22515,9,8,30564,32980,0,7,7,53453,40153,2084,3,9,33371,33335,0,716365273,0
6,13,31568,63028,0,6,10,26841,44045,0,6,12,29681,86659,30879,5,11,46952,43728,0,1,11,13352,45055,0,270500699,8,4,32448,24573,300,7,6,72086,30912,3539,4,4,41069,31834,0,23,7,87126,37318,0,14,4,49786,23757,0,6542922121,1
2,10,31318,42339,0,3,15,17001,29281,0,8,15,38540,56956,0,7,10,49239,38817,0,1,12,8374,65735,74393,1187404345,6,6,29893,32417,0,4,6,33356,22673,0,13,3,40025,34620,0,16,4,64960,29031,0,22,2,64894,25731,0,11140545887,1
7,6,20785,23996,0,4,10,16826,26551,1090,3,8,21667,25881,0,4,5,16592,23032,0,8,11,34864,30334,0,1666992667,13,5,26493,27237,0,4,6,17735,14451,0,7,4,24798,26227,0,9,10,32820,23968,0,7,1,27948,18851,0,3471335479,1
1,10,53476,38530,1834,2,14,24452,41843,0,0,11,6247,63894,67856,7,12,34969,33790,0,7,11,49449,54812,0,788943635,2,2,21035,21740,0,8,2,39964,14426,0,14,3,61989,67240,1689,24,3,64523,32291,0,10,7,45358,32896,0,1214788913,1
10,14,29957,139777,64827,5,10,60297,40857,0,10,13,65139,37964,0,11,15,36804,66955,0,8,13,36150,73152,0,1284495971,19,8,104546,41526,0,15,10,58404,32236,0,10,9,44777,55985,0,7,8,72348,63587,80699,14,9,78630,35013,0,309936513,1
8,6,46621,30584,0,3,14,19988,48643,1350,5,13,39451,44466,0,4,7,21228,73054,15472,0,7,17684,24644,0,38868389,8,3,50360,25869,0,7,6,41326,18455,0,4,1,18787,18775,0,18,2,51925,34114,0,10,8,58993,47759,0,1788421039,1
23,6,70879,37080,0,3,4,25057,24847,0,7,8,53421,32842,0,14,8,57086,35994,0,5,5,53714,100245,28985,1882537687,5,11,29792,31278,0,5,14,64219,48123,0,5,7,38269,98376,40717,10,8,50816,31885,0,6,12,47912,50495,0,641381411,0
25,16,98542,84352,0,6,11,33274,50496,0,9,16,85582,128800,59376,23,14,135527,93674,0,19,15,85397,69909,0,229702106,13,22,89615,111166,0,18,15,104911,71461,0,11,17,55548,56038,3250,22,16,109508,61547,0,7,13,67649,138110,0,3832378007,1
